,SIGLAS,DEPENDENCIA,CLAVEUC,NOMBRE_DE_LA_UC,RESPONSABLE,NUMERO_EXPEDIENTE,TITULO_EXPEDIENTE,PLANTILLA_EXPEDIENTE,NUMERO_PROCEDIMIENTO,EXP_F_FALLO,PROC_F_PUBLICACION,FECHA_APERTURA_PROPOSICIONES,CARACTER,TIPO_CONTRATACION,TIPO_PROCEDIMIENTO,FORMA_PROCEDIMIENTO,CODIGO_CONTRATO,TITULO_CONTRATO,FECHA_INICIO,FECHA_FIN,IMPORTE_CONTRATO,MONEDA,ESTATUS_CONTRATO,ARCHIVADO,RAMO,CLAVE_PROGRAMA,APORTACION_FEDERAL,FECHA_CELEBRACION,CONTRATO_MARCO,COMPRA_CONSOLIDADA,PLURIANUAL,CLAVE_CARTERA_SHCP,ESTRATIFICACION_MUC,PROVEEDOR_CONTRATISTA,ESTRATIFICACION_MPC,ESTATUS_EMPRESA,CUENTA_ADMINISTRADA_POR,ANUNCIO
APF,API-Puerto Madero,"Administración Portuaria Integral de Puerto Madero, S.A. de C.V.",009J3C001,API-Puerto Madero-Gerencia de Administracion y Finanzas,Pedro Agustin Espinosa,809318,ASESORIA EN MATERIA CONTABLE PARA LA APIMAD,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3C001-N17-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,734265,ASESORIA CONTABLE PARA LA APIMAD,2015-02-01,2015-12-31,86400,MXN,Activo,No,,,,2015-02-02 00:00:00 GMT,0,0,0,,Micro,ROBERTO LEDESMA CRUZ,Pequeña,Habilitado,PoC,
APF,API-Puerto Madero,"Administración Portuaria Integral de Puerto Madero, S.A. de C.V.",009J3C001,API-Puerto Madero-Gerencia de Administracion y Finanzas,Pedro Agustin Espinosa,809299,SERVICIO DE SOLICITUD DE IVA 2014 DE ACUERDO CON EL ANEXO 1 DEL PRESENTE CONTRAT,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3C001-N13-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,734253,SERVICIO DE SOLICITUD DE IVA 2014 DE ACUERDO CON EL ANEXO 1 DEL PRESENTE CONTRATO,2015-02-01,2015-12-31,250000,MXN,Activo,No,,,,2015-02-02 00:00:00 GMT,0,0,0,,Micro,"ZAMORA DIAZ Y ASOCIADOS, CONTADORES PUBLICOS SC",Pequeña,Habilitado,PoC,
APF,API-Puerto Madero,"Administración Portuaria Integral de Puerto Madero, S.A. de C.V.",009J3C001,API-Puerto Madero-Gerencia de Administracion y Finanzas,Pedro Agustin Espinosa,809304,SERVICIOS PROFESIONALES EN MATERIA DE DEFENSA FISCAL,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3C001-N14-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,734257,SERVICIOS PROFESIONALES EN MATERIA DE DEFENSA FISCAL,2015-02-01,2015-12-31,100000,MXN,Activo,No,,,,2015-02-05 00:00:00 GMT,0,0,0,,Micro,"CONSULTORÍA FISCAL Y LEGAL EMPRESARIAL, S.C.",,Habilitado,UC,
APF,API-Puerto Madero,"Administración Portuaria Integral de Puerto Madero, S.A. de C.V.",009J3C001,API-Puerto Madero-Gerencia de Administracion y Finanzas,Pedro Agustin Espinosa,809313,LICENCIAMIENTO Y SERVICIOS DEL SISTEMA SUPERNOMINA ,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3C001-N15-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,734262,LICENCIAMIENTO Y SERVICIOS DEL SISTEMA SUPERNOMINA INCLUYENDO DURANTE TODO EL AÑO 2015,2015-02-01,2015-12-31,50400,MXN,Activo,No,,,,2015-02-02 00:00:00 GMT,0,0,0,,Pequeña,SERVICIOS ADMINISTRATIVOS ECO HORU SA DE CV,Mediana,Habilitado,PoC,
APF,API-Puerto Madero,"Administración Portuaria Integral de Puerto Madero, S.A. de C.V.",009J3C001,API-Puerto Madero-Gerencia de Administracion y Finanzas,Pedro Agustin Espinosa,809298,SERVICIO DE PERSONAL EN APOYO ADMINISTRATIVO PARA DIVERSAS AREAS DE API MADERO,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3C001-N12-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,734252,SERVICIO DE PERSONAL EN APOYO ADMINISTRATIVO PARA DIVERSAS AREAS DE API MADERO,2015-02-01,2015-06-30,984156.8,MXN,Activo,No,,,,2015-02-09 00:00:00 GMT,0,0,0,,Micro,SINERGIA GANAR GANAR S.A DE C.V.,,Habilitado,UC,
APF,API-Puerto Madero,"Administración Portuaria Integral de Puerto Madero, S.A. de C.V.",009J3C001,API-Puerto Madero-Gerencia de Administracion y Finanzas,Pedro Agustin Espinosa,809314,SERVICIO DE DESAZOLVE DE AGUAS RESIDUALES (FOSAS SEPTICAS),12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3C001-N16-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,734263,"SERVICIO DE DESAZOLVE DE AGUAS RESIDUALES (FOSAS SEPTICAS), COMO SE ESPECIFICA EN EL ANEXO 1",2015-02-01,2015-12-31,154000,MXN,Activo,No,,,,2015-02-02 00:00:00 GMT,0,0,0,,Micro,GUADALUPE HIDALGO ESPONDA,,Habilitado,UC,
APF,API-Puerto Madero,"Administración Portuaria Integral de Puerto Madero, S.A. de C.V.",009J3C001,API-Puerto Madero-Gerencia de Administracion y Finanzas,Pedro Agustin Espinosa,809285,SERVICIO DE AUDITORIA EXTERNA SOBRE LOS ESTADOS FINANCIEROS,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3C001-N5-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,734243,SERVICIOS DE AUDITORIA EXTERNA SOBRE LOS ESTADOS FINANCIEROS,2015-01-01,2015-12-31,175474,MXN,Activo,No,,,,2015-01-02 00:00:00 GMT,0,0,0,,Micro,DESPACHO DE LA PAZ COSTEMALLE-DFK S.C.,,Habilitado,UC,
APF,API-Puerto Madero,"Administración Portuaria Integral de Puerto Madero, S.A. de C.V.",009J3C001,API-Puerto Madero-Gerencia de Administracion y Finanzas,Pedro Agustin Espinosa,809295,SERVICIO DE PERSONAL EN APOYO ADMINISTRATIVO PARA DIVERSAS AREAS DE API MADERO,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3C001-N10-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,734250,"SERVICIO DE PERSONAL EN APOYO ADMINISTRATIVO PARA DIVERSAS AREAS DE API MADERO, CORRESPONDIENTE AL MES DE ENERO DE 2015",2015-01-01,2015-01-31,168397.22,MXN,Expirado,No,,,,2015-05-06 00:00:00 GMT,0,0,0,,Micro,SINERGIA GANAR GANAR S.A DE C.V.,,Habilitado,UC,
APF,API-Puerto Madero,"Administración Portuaria Integral de Puerto Madero, S.A. de C.V.",009J3C001,API-Puerto Madero-Gerencia de Administracion y Finanzas,Pedro Agustin Espinosa,809296,SERVICIO DE MANTENIMIENTO PREVENTIVO A LOS EQUIPOS DE AIRE ACONDICIONADO ,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3C001-N11-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,734251,SERVICIO DE MANTENIMIENTO PREVENTIVO A LOS EQUIPOS DE AIRE ACONDICIONADO,2015-01-01,2015-12-31,73834.8,MXN,Activo,No,,,,2015-01-02 00:00:00 GMT,0,0,0,,Micro,SANTOS DIAZ LOPEZ ,,Habilitado,UC,
APF,API-Puerto Madero,"Administración Portuaria Integral de Puerto Madero, S.A. de C.V.",009J3C001,API-Puerto Madero-Gerencia de Administracion y Finanzas,Pedro Agustin Espinosa,809292,ASESORIA Y COLABORACION EN COORDINACION DE PLANEACION,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3C001-N8-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,734247,ASESORIA Y COLABORACIÓN EN COORDINACIÓN CON EL AREA DE PLANEACIÓN,2015-01-01,2015-01-31,15734.28,MXN,Expirado,No,,,,2015-01-02 00:00:00 GMT,0,0,0,,No MIPYME,DAVID FELICIANO OJEDA MELENDEZ,,Habilitado,UC,
APF,API-Puerto Madero,"Administración Portuaria Integral de Puerto Madero, S.A. de C.V.",009J3C001,API-Puerto Madero-Gerencia de Administracion y Finanzas,Pedro Agustin Espinosa,809293,SERVICIO DE RECOLECCION DE BASURA EN LA APIMAD,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3C001-N9-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,734248,SERVICIO DE RECOLECCION DE BASURA,2015-01-01,2015-12-31,117600,MXN,Activo,No,,,,2015-01-02 00:00:00 GMT,0,0,0,,Micro,OSMIN HERNANDEZ REYNOSA,,Habilitado,UC,
APF,API-Puerto Madero,"Administración Portuaria Integral de Puerto Madero, S.A. de C.V.",009J3C001,API-Puerto Madero-Gerencia de Administracion y Finanzas,Pedro Agustin Espinosa,809291,SERVICIOS PROFESIONALES EN EL ÁREA DEL ÓRGANO INTERNO DE CONTROL PARA REALIZAR P,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3C001-N7-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,734246,SERVICIOS PROFESIONALES EN EL ÁREA DEL ÓRGANO INTERNO DE CONTROL,2015-01-01,2015-01-31,14655.94,MXN,Expirado,No,,,,2015-01-05 00:00:00 GMT,0,0,0,,No MIPYME,YENI LUCERO SAMAYOA GOMEZ,,Habilitado,UC,
APF,API-Puerto Madero,"Administración Portuaria Integral de Puerto Madero, S.A. de C.V.",009J3C001,API-Puerto Madero-Gerencia de Administracion y Finanzas,Pedro Agustin Espinosa,809289,SERVICIO DE FUMIGACION EN LAS INSTALACIONES DE LA APIMAD,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3C001-N6-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,734244,SERVICIO DE FUMIGACION EN LAS INSTALACIONES DE LA APIMAD,2015-01-01,2015-12-31,228000,MXN,Activo,No,,,,2015-01-05 00:00:00 GMT,0,0,0,,Micro,FRANCISCO ANDRES CASTILLO AMORES,,Habilitado,UC,
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V002,API-Puerto Vallarta-ADMINISTRACIÓN PORTUARIA INTEGRAL PUERTO VALLARTA S.A. DE C.V.,JOSE ANTONIO MURO PARRA,788058,TRABAJOS DE INSPECCION CON PRUEBAS NO DESTRUCTIVAS DE LAS BITAS DE AMARRE,22. Adjudicación Directa Nacional Art. 43 LOPSRM,AO-009J2V002-N1-2015,,,2015-03-27 00:00:00 GMT,Nacional,Obra Pública,Adjudicación Directa Federal,Mixta,714021,TRABAJOS DE INSPECCION CON PRUEBAS NO DESTRUCTIVAS DE LAS BITAS DE AMARRE,2015-04-03,2015-04-17,31687.92,MXN,Expirado,No,,,,,0,0,0,,Pequeña,SSI MANTENIMIENTO Y SOPORTE SA DE CV,Pequeña,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=536168
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,800999,PRESTACIÓN DE SERVICIOS PROFESIONALES PARA EL ÓRGANO INTERNO DE CONTROL,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J2V001-N17-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,722446,PRESTACIÓN DE SERVICIOS PROFESIONALES PARA EL ÓRGANO INTERNO,2015-03-15,2015-04-15,14978,MXN,Expirado,No,,,,2015-03-15 00:00:00 GMT,0,0,0,,Micro,JOSE ALBERTO RAMOS ZERMEÑO,Micro,Habilitado,PoC,
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,761162,"ADQUISICIÓN DE MATERIALES, ÚTILES DE OFICINA, ÚTILES DE IMPRESIÓN Y REPRODUCCION",01. Licitación Pública Nacional LAASSP,LA-009J2V001-N4-2015,2015-02-05 00:00:00 GMT,2015-02-11 14:19,2015-02-26 12:00,Nacional,Adquisiciones,Licitación Pública,Electrónica,702295,"ADQUISICIÓN DE MATERIALES, ÚTILES DE OFICINA, Y ÚTILES DE IMPRESIÓN Y REPRODUCCIÓN",2015-03-13,2015-03-20,105528.07,MXN,Expirado,No,,,,,0,0,0,,Pequeña,DISPOSITIVOS DE COMPUTACION EN GENERAL SA DE CV,Pequeña,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=514114
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,759076,ADQUISICIÓN DE INSUMOS DE LIMPIEZA ,01. Licitación Pública Nacional LAASSP,LA-009J2V001-N3-2015,2015-02-27 00:00:00 GMT,2015-02-09 11:23,2015-02-24 12:00,Nacional,Adquisiciones,Licitación Pública,Electrónica,701584, ADQUISICIÓN DE INSUMOS DE LIMPIEZA,2015-03-06,2015-12-31,63273.5,MXN,Activo,No,,,,,0,0,0,,Pequeña,DISTRIBUIDORA KALA SA DE CV,Pequeña,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=512595
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,759076,ADQUISICIÓN DE INSUMOS DE LIMPIEZA ,01. Licitación Pública Nacional LAASSP,LA-009J2V001-N3-2015,2015-02-27 00:00:00 GMT,2015-02-09 11:23,2015-02-24 12:00,Nacional,Adquisiciones,Licitación Pública,Electrónica,701589, ADQUISICIÓN DE INSUMOS DE LIMPIEZA,2015-03-06,2015-12-31,123435.68,MXN,Activo,No,,,,,0,0,0,,Mediana,PAPEL ORO SA DE CV,Mediana,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=512595
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,801267,ADQUISICIÓN DE INSUMOS DE LIMPIEZA ,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J2V001-N19-2015,,,,Nacional,Adquisiciones,Adjudicación Directa Federal,,722697,ADQUISICIÓN DE INSUMOS DE LIMPIEZA,2015-03-06,2015-12-31,60800.15,MXN,Activo,No,,,,2015-03-06 00:00:00 GMT,0,0,0,,Micro,CONVERTIDORA DE PAPEL PRATZ SA DE CV,Micro,Habilitado,PoC,
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,791886,SERVICIO DE CAPACITACIÓN,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J2V001-N12-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,715486,SERVICIO DE CAPACITACIÓN ,2015-03-05,2015-03-12,137500,MXN,Expirado,No,,,,2015-03-05 00:00:00 GMT,0,0,0,,Pequeña,PROFESIONALES EN ADMINISTRACION PUBLICA SC,Pequeña,Habilitado,PoC,
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,800942,PRESTACIÓN DE SERVICIOS PROFESIONALES PARA EL ÁREA ADMINISTRATIVA,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J2V001-N16-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,722368,PRESTACIÓN DE SERVICIOS PROFESIONALES EN EL ÁREA ADMINISTRATIVA,2015-03-03,2015-05-31,44934,MXN,Activo,No,,,,2015-03-03 00:00:00 GMT,0,0,0,,Micro,MARIA DE LOS ANGELES RODRIGUEZ MATEOS,Micro,Habilitado,PoC,
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,800030,ADQUISICIÓN DE UNIFORMES PARA PERSONAL FEMENINO DE LA APIVAL,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J2V001-N14-2015,,,,Nacional,Adquisiciones,Adjudicación Directa Federal,,721683,PRIMER CONVENIO MODIFICATORIO PARA LA ADQUISICIÓN DE UNIFORMES PARA PERSONAL FEMENINO DE LA APIVAL,2015-02-19,2015-04-20,6860,MXN,Expirado,No,,,,2015-02-19 00:00:00 GMT,0,0,0,,Pequeña,DISTRIBUIDORA DE ALTA MODA DEL PACIFICO,Pequeña,Habilitado,PoC,
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,748123,Levantamiento batimétrico en el cuerpo de agua concesionado a  APIVALLARTA,01. Licitación Pública Nacional LAASSP,LA-009J2V001-N2-2015,2015-02-06 00:00:00 GMT,2015-01-20 16:57,2015-02-04 12:00,Nacional,Servicios,Licitación Pública,Electrónica,687287,"Levantamiento batimétrico en el cuerpo de agua concesionado a la API  Puerto Vallarta, S.A. de C.V.”",2015-02-18,2015-03-04,112323.92,MXN,Expirado,No,,,,2015-02-17 00:00:00 GMT,0,0,0,,Pequeña,SUCOJAOS SA DE CV,Pequeña,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=505478
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,791528,SERVICIOS PROFECIONALES,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J2V001-N11-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,714683,SERVICIOS PROFECIONALES,2015-02-06,2015-04-30,51000,MXN,Expirado,No,,,,2015-03-06 00:00:00 GMT,0,0,0,,Micro,PRISCILA RODRIGUEZ GUTIERREZ,Micro,Habilitado,PoC,
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,744400,ELABORACION DEL PROGRAMA MAESTRO DE DESARROLLO PORTUARIO 2015-2019,04. Invitación a cuando menos tres Nacional LAASSP,IA-009J2V001-N1-2015,2015-01-30 00:00:00 GMT,2015-01-14 18:48,2015-01-29 10:00,Nacional,Servicios,Invitación a Cuando Menos 3 Personas,Electrónica,687194,PRESTACIÓN DE SERVICIOS PROFESIONALES EXTERNOS PARA LA ELABORACIÓN DEL PROGRAMA MAESTRO DE DESARROLLO PORTUARIO 2015-2019,2015-02-03,2015-04-03,696200,MXN,Expirado,No,,,,2015-01-30 00:00:00 GMT,0,0,0,,Micro,"CONSULTORES EN ECONOMIA, INVERSIONES Y PROYECTOS SC",Micro,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=502320
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,791222,PRESTACIÓN DE SERVICIOS DE FOTOCOPIADO Y ESCANEO,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J2V001-N9-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,714549,SERVICIO DE FOTOCOPIADO Y ECANEO,2015-02-01,2015-12-31,17737.5,MXN,Activo,No,,,,2015-02-01 00:00:00 GMT,0,0,0,,Pequeña,RIZO PAPELERA SA DE CV,Pequeña,Habilitado,PoC,
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,791425,MENSAJERÍA Y PAQUETERÍA  ,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J2V001-N10-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,714613,SERVICIOS DE MENSAJERÍA Y PAQUETERÍA,2015-01-23,2015-12-31,50000,MXN,Activo,No,,,,2015-01-23 00:00:00 GMT,0,0,0,,No MIPYME,ESTAFETA MEXICANA SA DE CV,No MIPYME,Habilitado,PoC,
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,800030,ADQUISICIÓN DE UNIFORMES PARA PERSONAL FEMENINO DE LA APIVAL,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J2V001-N14-2015,,,,Nacional,Adquisiciones,Adjudicación Directa Federal,,721611,ADQUISICIÓN DE UNIFORMES PARA PERSONAL FEMENINO DE LA APIVAL,2015-01-22,2015-04-15,68600,MXN,Expirado,No,,,,2015-01-22 00:00:00 GMT,0,0,0,,Pequeña,DISTRIBUIDORA DE ALTA MODA DEL PACIFICO,Pequeña,Habilitado,PoC,
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,800886,MANTENIMIENTO A UNIDADES DE AIRE ACONDICIONADO,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J2V001-N15-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,722317,MANTENIMIENTO A UNIDADES DE AIRE ACONDICIONADO,2015-01-19,2015-12-31,47200,MXN,Activo,No,,,,2015-01-19 00:00:00 GMT,0,0,0,,Micro,ELSA ANAHI VALLES ROSAS,Micro,Habilitado,PoC,
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,789375,PRESTACIÓN DE SERVICIOS PROFESIONALES CONSISTENTES EN LA COORDINACIÓN DE ARCHIVO,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J2V001-N8-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,714135,PRESTACIÓN DE SERVICIOS PROFESIONALES CONSISTENTES EN LA COORDINACIÓN DE  ARCHIVOS,2015-01-15,2015-03-15,26034.57,MXN,Expirado,No,,,,,0,0,0,,Micro,ORLANDO GARCIA FLORES,Micro,Habilitado,PoC,
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,788985,PRESTACIÓN DE SERVICIOS PROFECIONALES,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J2V001-N7-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,712521,PRESTACIÓN DE SERVICIOS PROFECIONALES,2015-01-05,2015-02-20,14200,MXN,Expirado,No,,,,,0,0,0,,Micro,RAQUEL TORRES ALVIZO,Micro,Habilitado,PoC,
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,792512,LICENCIAMIENTO Y SERVICIO DE SUPERNOMINA ,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J2V001-N13-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,715560,LICENCIAMIENTO Y SERVICIO DE SUPERNOMINA,2015-01-01,2015-12-31,71900,MXN,Activo,No,,,,2015-01-01 00:00:00 GMT,0,0,0,,Mediana,SERVICIOS ADMINISTRATIVOS ECO HORU SA DE CV,Mediana,Habilitado,PoC,
APF,API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",009J2V001,API-Puerto Vallarta-GERENCIA DE ADMINISTRACIÓN Y FINANZAS,ARTURO MARTÍNEZ CARRILLO,801254,MANTENIMIENTO AL SITIO WEB ,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J2V001-N18-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,722687,MANTENIMIENTO AL SITIO WEP,2015-01-01,2015-12-31,28120,MXN,Activo,No,,,,2015-01-01 00:00:00 GMT,0,0,0,,Pequeña,MARGARITA RUIZ BARRON,Pequeña,Habilitado,PoC,
APF,API-Salina Cruz,"Administración Portuaria Integral de Salina Cruz, S.A. de C.V.",009J3G001,API-Salina Cruz-Departamento de Recursos Materiales,Francisco Heredia Salazar,786281,ARRENDAMIENTO DE BIENES INFORMATICOS,01. Licitación Pública Nacional LAASSP,LA-009J3G001-N5-2015,2015-05-04 00:00:00 GMT,2015-04-09 12:48,2015-04-24 10:00,Nacional,Arrendamientos,Licitación Pública,Electrónica,739946,ARRENDAMIENTO DE BIENES INFORMATICOS ,2015-06-08,2018-05-31,1178903.17,MXN,Activo,No,,,,2015-05-11 00:00:00 GMT,0,0,1,,Pequeña,ACG COMUNICACIONES UNIFICADAS SA DE CV,Pequeña,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=539986
APF,API-Salina Cruz,"Administración Portuaria Integral de Salina Cruz, S.A. de C.V.",009J3G001,API-Salina Cruz-Departamento de Recursos Materiales,Francisco Heredia Salazar,752166,Contratacion de seguros de vida y gastos medicos mayores para empleados de APIS,01. Licitación Pública Nacional LAASSP,LA-009J3G001-N2-2015,2015-02-25 00:00:00 GMT,2015-01-29 10:04,2015-02-13 11:00,Nacional,Servicios,Licitación Pública,Mixta,699586,CONTRATACION DE LOS SEGUROS DE VIDA Y GASTOS MÉDICOS MAYORES PARA LOS SERVIDORES PÚBLICOS DE LAS ADMINISTRACIONES PORTUARIAS INTEGRALES,2015-03-01,2016-03-01,12104643.27,MXN,Activo,No,,,,2015-03-02 00:00:00 GMT,0,1,1,,No MIPYME,"GRUPO NACIONAL PROVINCIAL, S.A.B.",No MIPYME,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=508904
